TimeStamp,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Position X,Position Y,Position Z,Right Eye Position X,Right Eye Position Y,Right Eye Position Z,Left Eye Position X,Left Eye Position Y,Left Eye Position Z,Center Eye Position X,Center Eye Position Y,Center Eye Position Z,Center Eye Rotation X,Center Eye Rotation Y,Center Eye Rotation Z,Center Eye Rotation W,Left Eye Rotation X,Left Eye Rotation Y,Left Eye Rotation Z,Left Eye Rotation W,Right Eye Rotation X,Right Eye Rotation Y,Right Eye Rotation Z,Right Eye Rotation W
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.1028468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.1828326,38.624283,215.62796,-5.1345854,0,0,0,0.040442064,0.09087025,-0.39941177,-0.016242338,0.09087546,-0.38067913,0.01122758,0.08977912,-0.391618,0.026855066,0.14992389,-0.0035700242,0.9883263,0.0694215,0.1547201,0.001019241,0.9855159,0.065594,0.14522852,0.004145648,0.98721266
0.1983607,11.754871,-77.468155,-5.8190436,0,0,0,0.03941254,0.09056614,-0.39813495,-0.017668396,0.09061646,-0.3806479,0.010032597,0.089503735,-0.3909859,0.028583517,0.13952492,-0.0038284196,0.9897985,0.07119218,0.14434609,0.00030449947,0.9869628,0.06739796,0.13484378,0.0034879635,0.98856586
0.2150399,0.57497203,-20.424475,-0.18191186,0.017113926,0.08930162,-0.38333398,0.038999073,0.0904372,-0.39771682,-0.018181887,0.090489306,-0.3805596,0.009578165,0.089376315,-0.39073792,0.028681302,0.13658135,-0.0037579592,0.9902064,0.071302615,0.14140406,0.00024757744,0.9873808,0.0675164,0.13189796,0.0034433864,0.9889553
0.2311807,2.1794472,-20.19616,-2.3492317,0.016720073,0.08920838,-0.38313082,0.038541816,0.09043887,-0.39749476,-0.018734746,0.090513244,-0.3806595,0.009081512,0.089390576,-0.39068216,0.02904105,0.13375558,-0.003962085,0.99058086,0.07167219,0.13859089,-7.984604E-05,0.9877529,0.067896396,0.1290813,0.0031302923,0.9893019
0.2480274,4.421247,-17.472801,-2.5877142,0.015641205,0.08914786,-0.38269696,0.038140316,0.09038226,-0.39718282,-0.019223493,0.09047621,-0.38064733,0.008644064,0.089346126,-0.3905256,0.029745877,0.13120206,-0.0041773813,0.9909005,0.072384596,0.13604933,-0.00040835637,0.98805416,0.06861861,0.12653792,0.0028183477,0.9895816
0.2649604,4.1337013,-16.178095,-0.64786595,0.014544316,0.089047305,-0.3822849,0.037883885,0.09012968,-0.39683473,-0.019560926,0.09022093,-0.38058296,0.008354825,0.08909421,-0.39032456,0.030373605,0.1288325,-0.0041209785,0.9911926,0.07302044,0.13367988,-0.00045711268,0.98833066,0.06926108,0.124167696,0.0027847264,0.98983717
0.2823777,17.049013,-73.6371,-2.7641392,0.014138782,0.0889691,-0.38208818,0.03639526,0.08960615,-0.39557803,-0.02140079,0.08967549,-0.38062322,0.006726167,0.08856868,-0.38973954,0.033040363,0.11772811,-0.0038633356,0.9924885,0.07572233,0.122576535,-0.0006908055,0.98956585,0.07199438,0.113060184,0.002619066,0.9909729
0.2997341,9.517872,-14.6888275,1.6428411,0.01384557,0.0888559,-0.38190353,0.036014944,0.08969671,-0.39556876,-0.02184896,0.089704655,-0.38087857,0.006319849,0.08863259,-0.3898689,0.034450326,0.11553338,-0.003373135,0.9927003,0.07713865,0.120361455,-0.0003023641,0.9897285,0.07341292,0.11084922,0.0030294298,0.9911175
